objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture
44606,Natural Rock Bridge,Lu Zhi,dated 1556,China,China,1500's,Asian Art
44612,Studying a painting,Zhang Lu,16th century,China,China,1600's,Asian Art
44620,Misty Bamboo on a Distant Mountain,Zheng Xie,dated 1753,China,China,1700's,Asian Art
44632,One Hundred Horses,Giuseppe Castiglione,datable to 1723–25,China,China,1700's,Asian Art
44634,Drunken Asaina,Katsushika Hokusai,ca. 1810,Japan,Japan,1800's,Asian Art
44698,Star deities of the northern and central dippers,Unidentified artist,dated 1454,China,China,1400's,Asian Art
44699,Returning home through the snow,Dai Jin,ca. 1455,China,China,1400's,Asian Art
44703,Li Bai gazing at the waterfall on Mount Lu,Zhong Li,late 15th century,China,China,1500's,Asian Art
44759,"Landscapes, Figures, and Flowers",Chen Hongshou,dated 1618–22,China,China,1600's,Asian Art
44761,Ten Oxherding Songs,Karasumaru Mitsuhiro,ca. 1634,Japan,Japan,1600's,Asian Art
44841,Death of the Historical Buddha (Nehan-zu),Unavailable,14th century,Japan,Japan,1400's,Asian Art
44843,Eleven-Headed Kannon on Mount Fudaraku,Unavailable,13th century,Japan,Japan,1300's,Asian Art
